2023-05-03 15:15:05,738 INFO [EmbeddedJettyServer] alpine-executable-war v2.2.1 (6173d3cb-4046-4864-940a-4bfe16cdd291) built on: 2023-04-12T21:19:03Z
2023-05-03 15:16:18,269 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-modified.json.gz
2023-05-03 15:16:18,299 INFO [NvdParser] Parsing nvdcve-1.1-modified.json
2023-05-03 15:16:19,372 WARN [NvdParser] CWE CWE-1385 now found in Dependency-Track database. This could signify an issue with the NVD or with Dependency-Track not having advanced knowledge of this specific CWE identifier.
2023-05-03 15:16:30,966 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-modified.meta
2023-05-03 15:16:31,247 INFO [NistMirrorTask] Downloading...
2023-05-03 15:16:31,248 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2023.json.gz
2023-05-03 15:16:31,423 INFO [NistMirrorTask] Downloading...
2023-05-03 15:16:31,879 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2023.json.gz
2023-05-03 15:16:31,940 INFO [NvdParser] Parsing nvdcve-1.1-2023.json
2023-05-03 15:16:37,272 INFO [UserResource] Unauthorized login attempt / invalid credentials / username: admin / IP Address: 172.17.0.1 / User Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/112.0
2023-05-03 15:16:58,007 WARN [NvdParser] CWE CWE-1385 now found in Dependency-Track database. This could signify an issue with the NVD or with Dependency-Track not having advanced knowledge of this specific CWE identifier.
2023-05-03 15:16:58,209 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2023.meta
2023-05-03 15:16:58,577 INFO [NistMirrorTask] Downloading...
2023-05-03 15:16:58,578 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2022.json.gz
2023-05-03 15:16:58,752 INFO [NistMirrorTask] Downloading...
2023-05-03 15:16:59,446 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2022.json.gz
2023-05-03 15:16:59,701 INFO [NvdParser] Parsing nvdcve-1.1-2022.json
2023-05-03 15:17:20,332 INFO [UserResource] Password successfully changed / username: admin / IP Address: 172.17.0.1 / User Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/112.0
2023-05-03 15:17:35,372 INFO [UserResource] Successful user login / username: admin / IP Address: 172.17.0.1 / User Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/112.0
2023-05-03 15:18:08,759 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2022.meta
2023-05-03 15:18:09,124 INFO [NistMirrorTask] Downloading...
2023-05-03 15:18:09,125 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2021.json.gz
2023-05-03 15:18:09,301 INFO [NistMirrorTask] Downloading...
2023-05-03 15:18:10,150 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2021.json.gz
2023-05-03 15:18:10,445 INFO [NvdParser] Parsing nvdcve-1.1-2021.json
2023-05-03 15:19:15,966 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2021.meta
2023-05-03 15:19:16,347 INFO [NistMirrorTask] Downloading...
2023-05-03 15:19:16,348 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2020.json.gz
2023-05-03 15:19:16,523 INFO [NistMirrorTask] Downloading...
2023-05-03 15:19:17,904 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2020.json.gz
2023-05-03 15:19:18,167 INFO [NvdParser] Parsing nvdcve-1.1-2020.json
2023-05-03 15:20:21,475 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2020.meta
2023-05-03 15:20:21,839 INFO [NistMirrorTask] Downloading...
2023-05-03 15:20:21,841 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2019.json.gz
2023-05-03 15:20:22,011 INFO [NistMirrorTask] Downloading...
2023-05-03 15:20:22,673 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2019.json.gz
2023-05-03 15:20:22,951 INFO [NvdParser] Parsing nvdcve-1.1-2019.json
2023-05-03 15:21:12,698 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2019.meta
2023-05-03 15:21:13,061 INFO [NistMirrorTask] Downloading...
2023-05-03 15:21:13,062 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2018.json.gz
2023-05-03 15:21:13,234 INFO [NistMirrorTask] Downloading...
2023-05-03 15:21:13,846 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2018.json.gz
2023-05-03 15:21:14,037 INFO [NvdParser] Parsing nvdcve-1.1-2018.json
2023-05-03 15:22:09,263 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2018.meta
2023-05-03 15:22:09,630 INFO [NistMirrorTask] Downloading...
2023-05-03 15:22:09,631 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2017.json.gz
2023-05-03 15:22:09,805 INFO [NistMirrorTask] Downloading...
2023-05-03 15:22:10,439 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2017.json.gz
2023-05-03 15:22:10,643 INFO [NvdParser] Parsing nvdcve-1.1-2017.json
2023-05-03 15:23:23,182 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2017.meta
2023-05-03 15:23:23,553 INFO [NistMirrorTask] Downloading...
2023-05-03 15:23:23,557 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2016.json.gz
2023-05-03 15:23:23,733 INFO [NistMirrorTask] Downloading...
2023-05-03 15:23:24,289 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2016.json.gz
2023-05-03 15:23:24,406 INFO [NvdParser] Parsing nvdcve-1.1-2016.json
2023-05-03 15:24:15,314 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2016.meta
2023-05-03 15:24:15,742 INFO [NistMirrorTask] Downloading...
2023-05-03 15:24:15,743 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2015.json.gz
2023-05-03 15:24:15,941 INFO [NistMirrorTask] Downloading...
2023-05-03 15:24:16,472 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2015.json.gz
2023-05-03 15:24:16,589 INFO [NvdParser] Parsing nvdcve-1.1-2015.json
2023-05-03 15:25:00,212 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2015.meta
2023-05-03 15:25:00,643 INFO [NistMirrorTask] Downloading...
2023-05-03 15:25:00,647 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2014.json.gz
2023-05-03 15:25:00,820 INFO [NistMirrorTask] Downloading...
2023-05-03 15:25:01,353 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2014.json.gz
2023-05-03 15:25:01,456 INFO [NvdParser] Parsing nvdcve-1.1-2014.json
2023-05-03 15:25:37,474 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2014.meta
2023-05-03 15:25:37,853 INFO [NistMirrorTask] Downloading...
2023-05-03 15:25:37,857 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2013.json.gz
2023-05-03 15:25:38,030 INFO [NistMirrorTask] Downloading...
2023-05-03 15:25:38,587 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2013.json.gz
2023-05-03 15:25:38,714 INFO [NvdParser] Parsing nvdcve-1.1-2013.json
2023-05-03 15:26:19,704 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2013.meta
2023-05-03 15:26:20,080 INFO [NistMirrorTask] Downloading...
2023-05-03 15:26:20,083 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2012.json.gz
2023-05-03 15:26:20,255 INFO [NistMirrorTask] Downloading...
2023-05-03 15:26:20,790 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2012.json.gz
2023-05-03 15:26:20,924 INFO [NvdParser] Parsing nvdcve-1.1-2012.json
2023-05-03 15:27:02,524 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2012.meta
2023-05-03 15:27:02,893 INFO [NistMirrorTask] Downloading...
2023-05-03 15:27:02,895 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2011.json.gz
2023-05-03 15:27:03,070 INFO [NistMirrorTask] Downloading...
2023-05-03 15:27:03,582 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2011.json.gz
2023-05-03 15:27:03,663 INFO [NvdParser] Parsing nvdcve-1.1-2011.json
2023-05-03 15:27:38,938 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2011.meta
2023-05-03 15:27:39,302 INFO [NistMirrorTask] Downloading...
2023-05-03 15:27:39,304 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2010.json.gz
2023-05-03 15:27:39,500 INFO [NistMirrorTask] Downloading...
2023-05-03 15:27:40,022 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2010.json.gz
2023-05-03 15:27:40,118 INFO [NvdParser] Parsing nvdcve-1.1-2010.json
2023-05-03 15:28:46,918 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2010.meta
2023-05-03 15:28:47,289 INFO [NistMirrorTask] Downloading...
2023-05-03 15:28:47,292 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2009.json.gz
2023-05-03 15:28:47,467 INFO [NistMirrorTask] Downloading...
2023-05-03 15:28:47,989 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-2009.json.gz
2023-05-03 15:28:48,082 INFO [NvdParser] Parsing nvdcve-1.1-2009.json
2023-05-03 22:11:07,660 INFO [EmbeddedJettyServer] alpine-executable-war v2.2.1 (6173d3cb-4046-4864-940a-4bfe16cdd291) built on: 2023-04-12T21:19:03Z
2023-05-03 22:11:09,209 INFO [Config] --------------------------------------------------------------------------------
2023-05-03 22:11:09,211 INFO [Config] OS Name:      Linux
2023-05-03 22:11:09,211 INFO [Config] OS Version:   5.10.104-linuxkit
2023-05-03 22:11:09,211 INFO [Config] OS Arch:      amd64
2023-05-03 22:11:09,211 INFO [Config] CPU Cores:    4
2023-05-03 22:11:09,213 INFO [Config] Max Memory:   3.7 GB (4,024,958,976.0 bytes)
2023-05-03 22:11:09,214 INFO [Config] Java Vendor:  Eclipse Adoptium
2023-05-03 22:11:09,215 INFO [Config] Java Version: 17.0.6+10
2023-05-03 22:11:09,215 INFO [Config] Java Home:    /opt/java/openjdk
2023-05-03 22:11:09,215 INFO [Config] Java Temp:    /tmp
2023-05-03 22:11:09,215 INFO [Config] User:         dtrack
2023-05-03 22:11:09,216 INFO [Config] User Home:    /data/
2023-05-03 22:11:09,216 INFO [Config] --------------------------------------------------------------------------------
2023-05-03 22:11:09,216 INFO [Config] Initializing Configuration
2023-05-03 22:11:09,217 INFO [Config] System property alpine.application.properties not specified
2023-05-03 22:11:09,217 INFO [Config] Loading application.properties from classpath
2023-05-03 22:11:09,234 INFO [Config] --------------------------------------------------------------------------------
2023-05-03 22:11:09,235 INFO [Config] Application:  Dependency-Track
2023-05-03 22:11:09,235 INFO [Config] Version:      4.8.0
2023-05-03 22:11:09,235 INFO [Config] Built-on:     2023-04-18T19:34:56Z
2023-05-03 22:11:09,235 INFO [Config] --------------------------------------------------------------------------------
2023-05-03 22:11:09,235 INFO [Config] Framework:    Alpine
2023-05-03 22:11:09,236 INFO [Config] Version :     2.2.1
2023-05-03 22:11:09,236 INFO [Config] Built-on:     2023-04-12T21:19:03Z
2023-05-03 22:11:09,236 INFO [Config] --------------------------------------------------------------------------------
2023-05-03 22:11:09,314 INFO [RequirementsVerifier] Initializing requirements verifier
2023-05-03 22:11:09,314 INFO [UpgradeInitializer] Initializing upgrade framework
2023-05-03 22:11:15,056 INFO [PersistenceManagerFactory] Initializing persistence framework
2023-05-03 22:11:15,062 INFO [PersistenceManagerFactory] Creating transactional connection pool
2023-05-03 22:11:15,165 INFO [PersistenceManagerFactory] Creating non-transactional connection pool
2023-05-03 22:11:15,410 INFO [HealthCheckInitializer] Registering health checks
2023-05-03 22:11:15,411 INFO [DefaultObjectGenerator] Initializing default object generator
2023-05-03 22:11:15,412 INFO [DefaultObjectGenerator] Synchronizing permissions to datastore
2023-05-03 22:11:15,598 INFO [DefaultObjectGenerator] Synchronizing SPDX license definitions to datastore
2023-05-03 22:11:18,545 INFO [DefaultObjectGenerator] Synchronizing default repositories to datastore
2023-05-03 22:11:18,565 INFO [DefaultObjectGenerator] Synchronizing config properties to datastore
2023-05-03 22:11:18,625 INFO [DefaultObjectGenerator] Synchronizing notification publishers to datastore
2023-05-03 22:11:18,785 INFO [CweImporter] Synchronizing CWEs with datastore
2023-05-03 22:11:20,087 INFO [CweImporter] CWE synchronization complete
2023-05-03 22:11:20,089 INFO [EventSubsystemInitializer] Initializing asynchronous event subsystem
2023-05-03 22:11:20,113 INFO [NotificationSubsystemInitializer] Initializing notification service
2023-05-03 22:11:20,115 INFO [IndexSubsystemInitializer] Building lucene indexes if required
2023-05-03 22:11:20,127 INFO [IndexManager] Checking the health of index PROJECT
2023-05-03 22:11:20,179 INFO [IndexManager] The index PROJECT is healthy
2023-05-03 22:11:20,181 INFO [IndexManager] Checking the health of index COMPONENT
2023-05-03 22:11:20,184 INFO [IndexManager] The index COMPONENT is healthy
2023-05-03 22:11:20,184 INFO [IndexManager] Checking the health of index SERVICECOMPONENT
2023-05-03 22:11:20,186 INFO [IndexManager] The index SERVICECOMPONENT is healthy
2023-05-03 22:11:20,187 INFO [IndexManager] Checking the health of index VULNERABILITY
2023-05-03 22:11:23,587 INFO [IndexManager] The index VULNERABILITY is healthy
2023-05-03 22:11:23,588 INFO [IndexManager] Checking the health of index LICENSE
2023-05-03 22:11:23,611 INFO [IndexManager] The index LICENSE is healthy
2023-05-03 22:11:23,612 INFO [IndexManager] Checking the health of index CPE
2023-05-03 22:11:23,615 INFO [IndexManager] The index CPE is healthy
2023-05-03 22:11:23,615 INFO [IndexManager] Checking the health of index VULNERABLESOFTWARE
2023-05-03 22:11:23,617 INFO [IndexManager] The index VULNERABLESOFTWARE is healthy
2023-05-03 22:11:23,641 INFO [AlpineServlet] Starting Dependency-Track
2023-05-03 22:11:26,532 INFO [AlpineServlet] Dependency-Track is ready
2023-05-03 22:11:26,536 INFO [NvdMirrorServlet] Initializing NVD mirror
2023-05-03 22:11:26,536 INFO [FileSystemResourceServlet] Initializing filesystem resource servlet
2023-05-03 22:11:30,114 INFO [PortfolioMetricsUpdateTask] Executing portfolio metrics update
2023-05-03 22:11:30,125 INFO [VulnerabilityMetricsUpdateTask] Executing metrics update on vulnerability database
2023-05-03 22:11:30,171 INFO [PortfolioMetricsUpdateTask] Completed portfolio metrics update in 00:00:053
2023-05-03 22:11:30,174 INFO [ClearComponentAnalysisCacheTask] Clearing ComponentAnalysisCache
2023-05-03 22:11:30,176 INFO [OsvDownloadTask] Google OSV mirroring is disabled. No ecosystem selected.
2023-05-03 22:11:30,181 INFO [ClearComponentAnalysisCacheTask] Complete
2023-05-03 22:11:30,930 INFO [VulnerabilityMetricsUpdateTask] Completed metrics update on vulnerability database in 00:00:804
2023-05-03 22:12:20,121 INFO [VulnDbSyncTask] Starting VulnDB mirror synchronization task
2023-05-03 22:12:20,122 INFO [VulnDbSyncTask] VulnDB mirror directory does not exist. Skipping.
2023-05-03 22:12:20,126 INFO [NistMirrorTask] Starting NIST mirroring task
2023-05-03 22:12:20,152 INFO [NistMirrorTask] Downloading files at Wed May 03 22:12:20 UTC 2023
2023-05-03 22:12:20,910 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-modified.json.gz
2023-05-03 22:12:21,100 INFO [NistMirrorTask] Downloading...
2023-05-03 22:12:21,428 INFO [NistMirrorTask] Uncompressing nvdcve-1.1-modified.json.gz
2023-05-03 22:12:21,474 INFO [NvdParser] Parsing nvdcve-1.1-modified.json
2023-05-03 22:12:24,171 WARN [NvdParser] CWE CWE-1385 now found in Dependency-Track database. This could signify an issue with the NVD or with Dependency-Track not having advanced knowledge of this specific CWE identifier.
2023-05-03 22:12:42,040 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-modified.meta
2023-05-03 22:12:42,327 INFO [NistMirrorTask] Downloading...
2023-05-03 22:12:42,328 INFO [NistMirrorTask] Retrieval of nvdcve-1.1-2023.json.gz not necessary. Will use modified feed for updates.
2023-05-03 22:12:42,329 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2023.meta
2023-05-03 22:12:42,418 INFO [NistMirrorTask] Downloading...
2023-05-03 22:12:42,422 INFO [NistMirrorTask] Retrieval of nvdcve-1.1-2022.json.gz not necessary. Will use modified feed for updates.
2023-05-03 22:12:42,423 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2022.meta
2023-05-03 22:12:42,520 INFO [NistMirrorTask] Downloading...
2023-05-03 22:12:42,523 INFO [NistMirrorTask] Retrieval of nvdcve-1.1-2021.json.gz not necessary. Will use modified feed for updates.
2023-05-03 22:12:42,524 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2021.meta
2023-05-03 22:12:42,614 INFO [NistMirrorTask] Downloading...
2023-05-03 22:12:42,618 INFO [NistMirrorTask] Retrieval of nvdcve-1.1-2020.json.gz not necessary. Will use modified feed for updates.
2023-05-03 22:12:42,619 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-2020.meta
2023-05-03 22:12:42,708 INFO [NistMirrorTask] Downloading...
2023-05-03 22:12:42,711 INFO [NistMirrorTask] Retrieval of nvdcve-1.1-2019.json.gz not necessary. Will use modified feed for updates.
